#freq EAS EAS_smooth
2.441406e-02 1.811715e-01 1.811715e-01
4.882812e-02 6.981361e-02 6.981366e-02
7.324219e-02 1.334462e-01 1.334464e-01
9.765625e-02 1.874172e-01 1.874173e-01
1.220703e-01 4.942396e-01 4.942426e-01
1.464844e-01 1.143794e+00 1.143791e+00
1.708984e-01 1.730431e+00 1.730453e+00
1.953125e-01 2.056311e+00 2.056288e+00
2.197266e-01 2.199196e+00 2.199208e+00
2.441406e-01 2.439251e+00 2.439346e+00
2.685547e-01 2.835867e+00 2.835796e+00
2.929688e-01 3.132281e+00 3.132245e+00
3.173828e-01 3.015403e+00 3.015403e+00
3.417969e-01 2.812026e+00 2.812070e+00
3.662109e-01 3.175393e+00 3.175698e+00
3.906250e-01 3.718762e+00 3.718428e+00
4.150391e-01 3.729001e+00 3.727828e+00
4.394531e-01 3.170577e+00 3.170098e+00
4.638672e-01 2.425945e+00 2.427046e+00
4.882812e-01 2.135636e+00 2.136545e+00
5.126953e-01 2.431658e+00 2.431417e+00
5.371094e-01 2.622936e+00 2.622764e+00
5.615234e-01 2.490236e+00 2.490272e+00
5.859375e-01 2.460885e+00 2.460893e+00
6.103516e-01 2.838267e+00 2.838262e+00
6.347656e-01 3.354663e+00 3.354663e+00
6.591797e-01 3.819035e+00 3.819040e+00
6.835938e-01 4.411017e+00 4.411070e+00
7.080078e-01 5.209392e+00 5.209502e+00
7.324219e-01 5.816786e+00 5.816548e+00
7.568359e-01 5.721390e+00 5.719968e+00
7.812500e-01 4.760887e+00 4.758305e+00
8.056641e-01 3.336188e+00 3.333297e+00
8.300781e-01 2.253710e+00 2.266314e+00
8.544922e-01 2.325031e+00 2.352456e+00
8.789062e-01 3.919256e+00 3.951759e+00
9.033203e-01 6.696212e+00 6.715894e+00
9.277344e-01 9.746517e+00 9.737288e+00
9.521484e-01 1.201408e+01 1.197204e+01
9.765625e-01 1.277418e+01 1.271231e+01
1.000977e+00 1.193434e+01 1.187688e+01
1.025391e+00 9.995794e+00 9.972197e+00
1.049805e+00 7.872722e+00 7.910840e+00
1.074219e+00 6.654848e+00 6.739797e+00
1.098633e+00 6.849417e+00 6.894221e+00
1.123047e+00 7.618621e+00 7.594976e+00
1.147461e+00 8.014618e+00 7.977315e+00
1.171875e+00 7.955191e+00 7.972483e+00
1.196289e+00 8.078928e+00 8.145310e+00
1.220703e+00 8.821717e+00 8.844289e+00
1.245117e+00 9.701422e+00 9.620416e+00
1.269531e+00 9.838023e+00 9.667628e+00
1.293945e+00 8.628563e+00 8.430676e+00
1.318359e+00 6.033126e+00 6.019945e+00
1.342773e+00 3.514992e+00 4.128995e+00
1.367188e+00 5.302619e+00 5.559507e+00
1.391602e+00 8.649762e+00 8.456844e+00
1.416016e+00 1.060898e+01 1.029734e+01
1.440430e+00 1.059423e+01 1.035092e+01
1.464844e+00 9.170459e+00 9.106511e+00
1.489258e+00 7.458524e+00 7.521201e+00
1.513672e+00 6.169018e+00 6.244195e+00
1.538086e+00 5.331747e+00 5.506900e+00
1.562500e+00 5.424093e+00 5.662799e+00
1.586914e+00 6.704172e+00 6.693296e+00
1.611328e+00 7.882517e+00 7.601901e+00
1.635742e+00 7.697004e+00 7.359137e+00
1.660156e+00 5.964500e+00 5.979394e+00
1.684570e+00 4.334575e+00 5.004057e+00
1.708984e+00 5.724516e+00 5.953260e+00
1.733398e+00 8.036598e+00 7.662558e+00
1.757812e+00 8.705492e+00 8.157277e+00
1.782227e+00 7.125007e+00 6.950917e+00
1.806641e+00 4.821829e+00 5.752579e+00
1.831055e+00 6.276092e+00 6.872958e+00
1.855469e+00 9.941723e+00 9.639624e+00
1.879883e+00 1.230845e+01 1.172990e+01
1.904297e+00 1.252388e+01 1.208674e+01
1.928711e+00 1.122373e+01 1.111349e+01
1.953125e+00 9.635887e+00 9.693769e+00
1.977539e+00 8.328222e+00 8.380825e+00
2.001953e+00 7.171027e+00 7.481131e+00
2.026367e+00 6.996770e+00 7.507349e+00
2.050781e+00 8.512679e+00 8.508430e+00
2.075195e+00 9.971173e+00 9.465509e+00
2.099609e+00 9.792928e+00 9.485472e+00
2.124023e+00 8.590079e+00 9.129588e+00
2.148438e+00 9.057684e+00 9.721236e+00
2.172852e+00 1.152349e+01 1.135463e+01
2.197266e+00 1.337914e+01 1.272141e+01
2.221680e+00 1.336245e+01 1.280792e+01
2.246094e+00 1.191260e+01 1.169692e+01
2.270508e+00 1.002784e+01 1.000459e+01
2.294922e+00 8.187404e+00 8.216985e+00
2.319336e+00 6.438700e+00 6.606254e+00
2.343750e+00 5.136185e+00 5.388551e+00
2.368164e+00 4.495970e+00 4.676391e+00
2.392578e+00 4.179420e+00 4.531620e+00
2.416992e+00 4.623054e+00 5.106510e+00
2.441406e+00 6.246087e+00 6.344015e+00
2.465820e+00 8.019817e+00 7.730517e+00
2.490234e+00 9.063891e+00 8.697427e+00
2.514648e+00 9.284193e+00 9.084761e+00
2.539062e+00 9.071727e+00 9.163744e+00
2.563477e+00 9.040212e+00 9.379577e+00
2.587891e+00 9.756514e+00 9.984005e+00
2.612305e+00 1.100113e+01 1.074825e+01
2.636719e+00 1.174270e+01 1.107568e+01
2.661133e+00 1.114763e+01 1.050421e+01
2.685547e+00 9.296417e+00 9.147896e+00
2.709961e+00 7.168696e+00 7.694553e+00
2.734375e+00 6.072201e+00 6.961174e+00
2.758789e+00 6.659155e+00 7.346410e+00
2.783203e+00 8.448581e+00 8.602922e+00
2.807617e+00 1.044825e+01 1.006750e+01
2.832031e+00 1.168279e+01 1.114195e+01
2.856445e+00 1.185345e+01 1.169360e+01
2.880859e+00 1.171735e+01 1.205639e+01
2.905273e+00 1.230631e+01 1.259259e+01
