station,component,FAS_0.1,FAS_0.10722672220103231,FAS_0.11497569953977356,FAS_0.12328467394420663,FAS_0.1321941148466029,FAS_0.1417474162926805,FAS_0.1519911082952934,FAS_0.16297508346206444,FAS_0.17475284000076838,FAS_0.1873817422860384,FAS_0.20092330025650468,FAS_0.2154434690031884,FAS_0.23101297000831597,FAS_0.24770763559917108,FAS_0.26560877829466867,FAS_0.2848035868435802,FAS_0.30538555088334157,FAS_0.32745491628777285,FAS_0.3511191734215131,FAS_0.3764935806792468,FAS_0.40370172585965547,FAS_0.43287612810830584,FAS_0.464158883361278,FAS_0.49770235643321115,FAS_0.533669923120631,FAS_0.5722367659350217,FAS_0.6135907273413173,FAS_0.6579332246575681,FAS_0.7054802310718644,FAS_0.7564633275546289,FAS_0.8111308307896873,FAS_0.8697490026177834,FAS_0.9326033468832199,FAS_1.0,FAS_1.072267222010323,FAS_1.1497569953977356,FAS_1.232846739442066,FAS_1.3219411484660293,FAS_1.4174741629268055,FAS_1.5199110829529339,FAS_1.6297508346206444,FAS_1.7475284000076838,FAS_1.8738174228603839,FAS_2.009233002565047,FAS_2.1544346900318843,FAS_2.31012970008316,FAS_2.4770763559917115,FAS_2.656087782946687,FAS_2.848035868435802,FAS_3.0538555088334154,FAS_3.2745491628777286,FAS_3.511191734215131,FAS_3.7649358067924674,FAS_4.037017258596556,FAS_4.328761281083059,FAS_4.641588833612779,FAS_4.977023564332112,FAS_5.3366992312063095,FAS_5.722367659350217,FAS_6.1359072734131725,FAS_6.5793322465756825,FAS_7.054802310718645,FAS_7.56463327554629,FAS_8.111308307896872,FAS_8.697490026177835,FAS_9.326033468832199,FAS_10.0,FAS_10.722672220103231,FAS_11.497569953977356,FAS_12.32846739442066,FAS_13.219411484660288,FAS_14.174741629268048,FAS_15.199110829529332,FAS_16.297508346206453,FAS_17.475284000076847,FAS_18.73817422860385,FAS_20.09233002565048,FAS_21.544346900318846,FAS_23.101297000831604,FAS_24.770763559917114,FAS_26.560877829466868,FAS_28.48035868435802,FAS_30.538555088334157,FAS_32.74549162877728,FAS_35.11191734215131,FAS_37.64935806792467,FAS_40.37017258596554,FAS_43.28761281083057,FAS_46.41588833612782,FAS_49.770235643321136,FAS_53.366992312063125,FAS_57.2236765935022,FAS_61.35907273413176,FAS_65.79332246575683,FAS_70.54802310718645,FAS_75.64633275546291,FAS_81.11308307896873,FAS_86.97490026177834,FAS_93.26033468832199,FAS_100.0
0200dc0,000,0.0002621829775981274,0.0002859778717543454,0.00031149235680926293,0.0003601110938945424,0.0005454286311544262,0.0007441385520218764,0.0009083025393516444,0.0010392202257956088,0.0011505064307160684,0.0012057085164991497,0.0013105469694727327,0.0014921459144876105,0.0017620739217949336,0.002065000367676428,0.0023222944638170376,0.002472387970285806,0.002506883843385084,0.002370000708454023,0.0020458962370101213,0.0016949041621040113,0.0016262655755790228,0.001955548541844305,0.0024183015529997617,0.0025522330073849938,0.0023497550812726503,0.0020722398403722492,0.0020197270294664495,0.002305944193743215,0.0027501449438758225,0.003093169956312797,0.0033045851567430626,0.003571387126974292,0.003935574376416417,0.004210023672084135,0.004234688737101373,0.004251705819515665,0.004875103617455168,0.006243898302156691,0.0074076721397961535,0.00731051431846245,0.0063979587634933055,0.006053388781731149,0.0067107076125510964,0.007310793750529454,0.006736410236318524,0.005285871636723733,0.004251342627115435,0.004269479546838525,0.004807453656093151,0.005124488433883368,0.004995480943081987,0.004541370585976153,0.003980064044124304,0.0036484032365185852,0.003842350856978779,0.004411227732496099,0.004812486597180664,0.004784988628427008,0.0045625299898281475,0.00428730403696258,0.003829894263318055,0.0032799758837256244,0.0029387738544058906,0.0028100363022527802,0.0026522746617416333,0.0023970843852578632,0.002127376697003535,0.0018617753241956406,0.0015849454647424612,0.0013120482262993078,0.0010606583749748254,0.0008564999481952885,0.000730468246021779,0.0006687985933393942,0.0006151499318993802,0.0005322265066464046,0.00043190950327122907,0.0003438660202265562,0.0002770945500073571,0.00022213158609462436,0.00017241046207675185,0.00012869503638868543,9.278055903155461e-05,6.510483455202452e-05,4.4828553487134514e-05,3.0354441378823282e-05,2.007867410299318e-05,1.2767020619225545e-05,7.756624323357423e-06,4.639756037352523e-06,2.8760928731400075e-06,1.9765167596075487e-06,1.597995256015527e-06,1.445408800259587e-06,1.3512098300096775e-06,1.2962762070164527e-06,1.2950091510448613e-06,1.2982034144668223e-06,1.1730353052029066e-06,8.45275588637734e-07
0200dc0,090,0.0003839666616572812,0.00034388103080412,0.00030089852276666944,0.00027027543795518703,0.0003343235350876792,0.00040300021027498393,0.0004993676732907271,0.0006236628998055726,0.0007435133125940423,0.0008424282431561531,0.0009657237544897417,0.0011240472579798768,0.0013346086731859076,0.0015682663908820884,0.0017843941484430661,0.0019446590116871275,0.0020331257300736554,0.001991232447893969,0.001776546160390439,0.0014886060263286482,0.001390675434776931,0.0016657875546804424,0.0022358694720051447,0.0028029752197437064,0.003116950657099436,0.0030145271359901167,0.00264377716884822,0.002365577461894711,0.0026376601888719415,0.0034671338522565256,0.0042819657187440794,0.004488413173223219,0.004151315302785159,0.0037298687038757666,0.003418255327708805,0.003273834301008322,0.0035948779374441464,0.004320388671868979,0.004815038036536229,0.004840794624543118,0.004975832104445533,0.00561026321919651,0.006492349248987562,0.007313566445420149,0.007934355883231785,0.008153377047299674,0.00781900711307479,0.007051373840087075,0.006184716662087376,0.0055770750208113526,0.005366944579199189,0.005345272194691395,0.005250024083657908,0.005094297398211178,0.004974466118126119,0.004763172761562455,0.00430617760477328,0.003762112488818207,0.0034559805508735672,0.003457632348594147,0.0035167763617847247,0.0034227352172767622,0.003215301924679862,0.0029818224306339108,0.0027035431736531492,0.002386214936722537,0.002098926032452893,0.0018522545106597268,0.0016103592657764458,0.0013792993564201283,0.0011861372300937779,0.0010301574070457297,0.0008910422500802747,0.0007553351880198694,0.0006277243619804218,0.0005184915033930517,0.0004290567734774473,0.00035654541564983285,0.0002967951977495617,0.00024108961824431563,0.00018418810781196894,0.0001315443108948098,9.072603962996565e-05,6.231079436843781e-05,4.27200079762164e-05,2.933316929963861e-05,2.047226393811786e-05,1.4739548532814872e-05,1.125164489205684e-05,9.01376272778353e-06,7.050566809487362e-06,5.23744400853829e-06,3.908297570430851e-06,3.106496899318909e-06,2.63350223793684e-06,2.346190700114594e-06,2.203477550498644e-06,2.11259869088834e-06,1.859059948096543e-06,1.3213160265177797e-06
0200dc1,000,9.688466075569115e-05,0.00017426050720241638,0.0002572280911225439,0.00035379901018871545,0.0005050058497710468,0.000667139987598954,0.0007990939295969704,0.0009019387611508682,0.0009720765346569134,0.0009588068232788166,0.0009289283158315494,0.0008731712027083408,0.0008989592173602083,0.0009890692018173588,0.0011947527463527388,0.0014111841810521943,0.0015788329265165233,0.0016617394213069377,0.0016354963429698094,0.0014891540816446087,0.0012891641393022561,0.0011900971728418636,0.0012773171101340792,0.0015007991138746458,0.0018508914521000463,0.0026191347167433673,0.003948628581992703,0.005660856747494711,0.007211545101533338,0.008054723311446249,0.0077923798123260765,0.006880902164198524,0.006526694611348366,0.00758031919976166,0.00956511614347989,0.011160325167735179,0.01144879995284035,0.010781617165730686,0.010267189543267186,0.010157066492378734,0.009520260996104906,0.007976176145827543,0.00625037215521382,0.005064924565228326,0.004643503282967832,0.004842255516840601,0.005210171824492014,0.0054516151836555655,0.00566986746168924,0.0058982629718752405,0.005961716951420756,0.0058380597074093885,0.005657895194210287,0.00552761125275801,0.005505022824579023,0.005424854763026827,0.0049907873263994075,0.004368147649482161,0.0040702575368583875,0.0041004259863257776,0.00404393185874254,0.0038673865499159704,0.0037632117234497296,0.003602693602602485,0.0032277818268144874,0.0028065906621785285,0.0025123840316420825,0.002271928133090839,0.001988027717531661,0.0016996390754469618,0.0014663385270576696,0.001278388626206927,0.001102455057389992,0.0009304696693771389,0.0007741934435275011,0.0006391268986603975,0.0005190558290556987,0.0004150725142263521,0.0003339855843168171,0.00026834496254684535,0.0002056004688723583,0.00014765372584327264,0.00010339725492957765,7.451165621396785e-05,5.5567616091413466e-05,4.073425013311669e-05,2.802580589347543e-05,1.812167776114274e-05,1.1347422931553955e-05,7.103852032147886e-06,4.5315315460528375e-06,2.994593791457959e-06,2.1611840840254326e-06,1.7336490176042687e-06,1.4786970888262228e-06,1.3226532818926496e-06,1.24266909433146e-06,1.1901613567013283e-06,1.0515670614320915e-06,7.546209822827478e-07
0200dc1,090,0.00038761683371150817,0.0005317201225039095,0.0006862373556598891,0.0008553313704268216,0.0010580087797328035,0.0012753331223735783,0.0014892541797038182,0.001701009253706639,0.0019021371898172833,0.0020606443667984618,0.0021933277809068974,0.0022790991998218085,0.0023216603724977546,0.0023343452198751145,0.002297249555874617,0.0022484834358234645,0.0022994374073943918,0.0025715274122039104,0.003114627044342395,0.003738516446740445,0.004075629738031636,0.0038822824388877655,0.0032484731241774916,0.0025754193111128115,0.002160524835345458,0.0020167845394159617,0.0020437559393644902,0.0026503651413037296,0.004682393888738729,0.007921281107565552,0.010369605346055825,0.010297761838097778,0.00845101454556504,0.0069907868032686605,0.006783845395653643,0.006880135353092376,0.006542856481113457,0.006043660383245402,0.005726437754578755,0.005364769925775503,0.004830918849435003,0.0046843086861914456,0.0053453748371145825,0.006214772525243236,0.006382865952306076,0.0059855328039315776,0.006257303671272205,0.007970630254643875,0.010045688885224379,0.01047498897838265,0.008745355287999693,0.006442828608005056,0.005318040272024268,0.0056242946297664215,0.006388234860303935,0.006752862047025927,0.006747700315230736,0.006756105562569166,0.00670966534443226,0.0062403952939295414,0.005288230345079805,0.004219561781156696,0.0034817014636643177,0.0031856972853177424,0.0030400840873247834,0.0027746062799531845,0.0024486745376531183,0.0022264700074469627,0.002097775239519288,0.0019486171263922937,0.0017361766891185704,0.0015007609116238002,0.0012905517270194206,0.0011245840604747956,0.0009832770351961254,0.0008281913851446272,0.0006609141474599898,0.0005226005983871842,0.0004203704522211304,0.00032248459326364,0.00022317267995127722,0.0001466609945426888,0.00010202889238491093,7.677849411436863e-05,5.8713587082734686e-05,4.347177304685453e-05,3.0453196313118364e-05,1.9943991292156483e-05,1.2063703919341432e-05,6.553673412982732e-06,3.1152687517139068e-06,1.4060962129725306e-06,7.99678997343095e-07,6.208969800575546e-07,5.326051536989788e-07,4.800126911682034e-07,4.6210547052945174e-07,4.539380012530761e-07,4.075515192062109e-07,2.98491802549997e-07
0200dc2,000,5.8951070280241206e-05,0.00013785569570636997,0.00022246253921581028,0.0003130315849721425,0.000409192981318331,0.0005123036946430923,0.0005835693165063916,0.0006237387551409,0.0006225931400249904,0.0005238983985232613,0.0004320700436518785,0.000354822495854206,0.0004577528833824856,0.0006608917101537615,0.0009465113832263429,0.0011712892672820754,0.0013212267537791977,0.0013810088280414906,0.0013621775217696997,0.0013193352752104836,0.0013659405742119917,0.0016422041231517316,0.0022068013961682484,0.0030047196869928245,0.0039802957570057714,0.005232818165955257,0.006549769601803933,0.007366637571314723,0.007364195640207935,0.006993491224978321,0.007033182189556563,0.00784190699367149,0.00910929107462355,0.01045733548854937,0.01194449819956054,0.013156677893205302,0.0127658904248131,0.010508792191988352,0.008155322521966093,0.007484406939455408,0.008078631852993873,0.00834840690486677,0.0075623936824810965,0.006295209951690431,0.005384966476117391,0.005255873024897039,0.006187590122240923,0.00810311190460276,0.009965483873491833,0.010686049546835727,0.010544969893231665,0.010431514705368575,0.01016198770311918,0.009015086266144433,0.007346641768145415,0.0063086000470908895,0.006314980590766887,0.006710683027304625,0.006727097599649894,0.0061906833446315505,0.0054149043869918655,0.0047250612612839745,0.004200438595013236,0.003819755510519659,0.0036268257701221034,0.003593964197892103,0.0034976798036076505,0.0031381513430889358,0.0025958600230088103,0.0021160684111883525,0.0018043227780441245,0.0015701804064188801,0.001323319181545354,0.0010871553612282613,0.0009149442726758755,0.0007980369840566541,0.0006920618749594494,0.0005764049710095365,0.00045998612658520153,0.00035759554096829755,0.00027458277249817935,0.00020623638913355366,0.00014887695810541487,0.00010493733264540744,7.47464853187952e-05,5.364756202979377e-05,3.78058708964425e-05,2.5641275345611092e-05,1.603672177039564e-05,8.634303488216263e-06,3.798253283318342e-06,1.4497829239407896e-06,6.92520171978186e-07,5.222957692638577e-07,4.6510664375037194e-07,4.3015902938898956e-07,4.0138014329753287e-07,3.7656449628530747e-07,3.3294596222410056e-07,2.522189230573601e-07
0200dc2,090,0.0005462724049951255,0.0006267797285135067,0.0007131050926540477,0.0008194591721887652,0.0010198877070479687,0.0012348006553330462,0.0015564619340968692,0.0019855055300046906,0.002419397230919108,0.0028269876931795637,0.003159373249155179,0.0033571529344284014,0.0034359840679626216,0.0034477442683396565,0.0033871525314904893,0.003183235489893597,0.0028432806242167058,0.0025123956199365393,0.002516976822827798,0.003070848763041045,0.0038374968806446025,0.0041862366004519645,0.00395517314712475,0.0038932694068701907,0.004737214798001205,0.006458074901488784,0.00803407880905567,0.008531387174051023,0.008137981356683165,0.007956764682312118,0.008622701126375422,0.009707582219314264,0.010699036815179773,0.01134915899742132,0.011229271472329563,0.010333503411582175,0.009784756756254112,0.010527382841660379,0.012133047823215577,0.013574448373067921,0.014274734888891813,0.014198637070210997,0.014075928256783679,0.014613721081647735,0.015045568016995315,0.014067806391963636,0.011977283510475056,0.010163575398518254,0.009247107166085681,0.008977195553455244,0.009100279020324661,0.009405061509177646,0.009556895855930676,0.009392613280858969,0.009008248294048478,0.008441335910902214,0.00770719755439058,0.007053053998926678,0.006720022183472785,0.00666806632501543,0.006726786609934299,0.00668252077898825,0.006336674978513325,0.005782247725652159,0.005295293436094443,0.004875025649818515,0.004323052154373897,0.0036719355047595786,0.003129263980175106,0.0027480580389252856,0.0024212471014675363,0.002077541797651222,0.0017340040280274442,0.0014244569841947686,0.0011565205652400105,0.0009255178047546776,0.0007333648105632372,0.0005849197345039392,0.00047620191697310627,0.00039227442148033356,0.0003170262762482139,0.00024375446967732356,0.00017554981735008014,0.00011944470510879167,8.006954269503039e-05,5.511652529293621e-05,3.8564128911851367e-05,2.7087284570560658e-05,1.961241188970441e-05,1.4563960343290428e-05,1.0643214638709214e-05,7.6229457474631935e-06,5.617166901885741e-06,4.473809309075973e-06,3.800591683539113e-06,3.3695855871029105e-06,3.156522514663848e-06,3.0222492602642404e-06,2.662215054017851e-06,1.9012739683614981e-06
0200dc3,000,0.00033444065851992146,0.00040547274118776333,0.0004816381151436179,0.0005741619774160984,0.0007413683602976139,0.0009206582839723711,0.0011144031591461766,0.0013235313149704843,0.001510942204049648,0.0016307143662712385,0.001731075214367273,0.0017961497746689164,0.0019170856129503155,0.002064356566682398,0.0022095561398995938,0.002168350335461143,0.0019509876996711072,0.0016286786195892483,0.0013538174864435842,0.0012031321371975732,0.0011164247196096219,0.0011063286589822554,0.0013490756240962865,0.0019774355695508696,0.0027455124023384085,0.003535911559182589,0.00450997499360339,0.005825976927796222,0.007173806769188668,0.007953675862225867,0.007874879892391105,0.0073145181694375064,0.00672006779228913,0.006383680456152523,0.006737332273969813,0.008161171048408121,0.01052120576200799,0.013071785578898673,0.014489721976215784,0.013556261587605662,0.010750718027570104,0.007908457057757626,0.006173338512347945,0.005547811029781561,0.005876670715675411,0.006719828865452997,0.007141387235792192,0.006786628436083667,0.006317506820429495,0.006525040064297803,0.007727023189375827,0.009579605265682242,0.010984863818568025,0.011067493435155883,0.01035821651066397,0.009824081501370652,0.00924784660543695,0.008065302077550629,0.006850625564272748,0.006415018862661735,0.006485618909264226,0.006360389439398071,0.005868328661875765,0.005175444737213952,0.004452886344497578,0.0038635475643621145,0.0034426294533805315,0.003105199877004421,0.00284813619745306,0.0026889265111766114,0.0025018460570718688,0.0021781849732468834,0.0018018802916230604,0.0014903946351586294,0.001238748636175231,0.0010174829093133944,0.0008480871439013517,0.0007296609208758102,0.0006179937144175158,0.0004928748235395506,0.00037402180281504945,0.00027888716863099205,0.00020559701950223356,0.00014776877352001323,0.0001031560806594964,7.050333235554513e-05,4.7339503065948635e-05,3.0938406176237556e-05,1.9334863898221434e-05,1.1375730959034038e-05,6.2944140445186365e-06,3.47364115083355e-06,2.210746852141271e-06,1.7022486666345659e-06,1.4413946312237056e-06,1.2792394354019815e-06,1.182013088745452e-06,1.1133688054486406e-06,9.76624446841912e-07,7.081991441215132e-07
0200dc3,090,0.00047798663580772896,0.0005731615834794786,0.0006752145602244436,0.0007902639655310372,0.0009488424558660271,0.0011188809731681178,0.0013489314855943903,0.0016396264989272623,0.0019514026183837798,0.0022858716889662166,0.0025842339830723046,0.002812798996072742,0.002928987007932483,0.002978294675649545,0.002941082247506479,0.0027981017256665987,0.0025108678347860428,0.0021260805615646266,0.001869033585882334,0.002018400074135877,0.0025034208649963884,0.0029861010572424457,0.003393289057229552,0.004024762722688097,0.004831482321419108,0.005313210051259872,0.005169514555326454,0.004542907614959289,0.004031112382448308,0.004056601502772375,0.004697534133054844,0.005935739291982345,0.007781679953034954,0.009797001160283349,0.011255169368163856,0.011994442918838406,0.012330346535768975,0.012741139132368061,0.013756729270555568,0.015137419418704135,0.015802820045470383,0.01555597781715453,0.015277180375044244,0.015090150030514617,0.014476243972269216,0.013645969562952949,0.012895683137408475,0.011945386506056307,0.010945444004677377,0.01051524029343076,0.010693592043904836,0.011039563906334702,0.011278060852504733,0.011353748122299714,0.011323335209881786,0.011081075763560218,0.0102536624185686,0.0088464101369993,0.007567549863731906,0.007068626540027019,0.007290927772212204,0.00769955040993572,0.007784690933794806,0.007307007953762492,0.0063778486670255955,0.005437621857713813,0.004915410662791835,0.004752951034370858,0.004508238556660911,0.003959834686675335,0.0032800663081410234,0.0026726231958132457,0.002186726293068984,0.0018136455423182355,0.0015221578980048522,0.0012521908574384274,0.0009775461049982947,0.0007313113086629226,0.0005520240279735851,0.00044282581930486244,0.0003769079947677606,0.00032048350834089964,0.00025535620298271585,0.0001858029875160922,0.0001255167457732726,8.275400819402508e-05,5.603236642172371e-05,3.848359328484784e-05,2.4802406127982512e-05,1.38565917504394e-05,6.422495445625192e-06,2.645405496030453e-06,1.323923340830225e-06,9.525602285871572e-07,8.057629922892146e-07,7.108943371905749e-07,6.348930814818231e-07,5.837579686480456e-07,5.079662569189677e-07,3.81479311129661e-07
0200dc4,000,0.0003524414929862704,0.00046594443678111674,0.0005876499230140107,0.000721519393225921,0.0008861661769778706,0.0010627115264045081,0.0012521779936618819,0.0014554867248867138,0.0016599039538038886,0.0018491515420502934,0.00202323686287904,0.0021661940715398376,0.002278455804139173,0.002366841662465344,0.0024012594699530506,0.002295159504860706,0.002021414841511607,0.0016053585207046694,0.0011986491435294995,0.0010265833413059028,0.0012057500182473255,0.001678953555491333,0.0022778124282467112,0.0027391882261113844,0.0029916305856305917,0.0033069947137557144,0.004126567506188051,0.005502473021547973,0.0067573871579352145,0.007301217830670812,0.007052995006777539,0.006313382909500845,0.00544363415491978,0.004870390056866387,0.00491095643080376,0.005413032662653605,0.005805757156331252,0.005760603201214496,0.00566113677603347,0.006019350122774369,0.006849297662765272,0.00822353322623148,0.010221543960098547,0.012042946762266282,0.01264776982723365,0.012021364204796582,0.01068767162576455,0.00914993384411608,0.008227756134844926,0.008342390602375517,0.00890759992289707,0.009431675160339886,0.010075702005752113,0.010770157989359,0.01094771171860482,0.010172412158124214,0.008644601988270901,0.007138077606362939,0.006250054397592892,0.005861446876815957,0.005539808846905712,0.005047422868373269,0.0044152446020983525,0.0039229443610540845,0.0038275507515207344,0.003948670472588354,0.0038673722097007264,0.0035104493064562078,0.003136825939687625,0.002865354451184959,0.00259846485393047,0.0022771776941485876,0.0019193931900130944,0.001537992320275843,0.001172744303941422,0.000885366430363,0.0006882073729234218,0.000550371186340122,0.0004425209517266264,0.000347452290043649,0.00026387067245286166,0.00020076641648219905,0.00015624408991419376,0.00011794498058898747,8.189549458936579e-05,5.3641001716272866e-05,3.55532319283592e-05,2.3986515058419628e-05,1.5219017420997758e-05,8.393018209764696e-06,3.970117464459341e-06,1.813624847747302e-06,1.0308010996011408e-06,7.819010707932765e-07,6.635218689723945e-07,5.756849227273278e-07,5.143421013167321e-07,4.7169247894711656e-07,4.169028549609198e-07,3.158304864095119e-07
0200dc4,090,0.0004365896235853191,0.0005061095658887081,0.0005806535212966809,0.000655727186370547,0.0007057972968215748,0.0007594858350606486,0.0008344967402566267,0.0009310170108685027,0.0010575847879212303,0.0012441556770398825,0.0014350305021777262,0.0016257873075304638,0.001725193581976832,0.0017511383816658412,0.001629537834568479,0.0013897473737217835,0.0011073903506319987,0.0008805493550165515,0.000863034846072739,0.0011765906846535796,0.0017975726872149801,0.0025869504030994217,0.0033742900460488235,0.0038450837741758996,0.0037772736223805697,0.0031188283554592438,0.002562254314710429,0.003184744329736777,0.00559811746310048,0.009224454356536937,0.01261022993712806,0.01422818035609464,0.013727473162809155,0.012388000093435414,0.011880903365671047,0.012668711602478145,0.014192830664866578,0.015160804813590858,0.013981480726161387,0.010502954061339135,0.006704014923062166,0.00457521529096559,0.004374178310708706,0.005297866456028925,0.006741662559880986,0.008474632059114051,0.010168350476885232,0.011259901204070832,0.011247348670123614,0.010224518469202047,0.009113337470484602,0.008878933117438696,0.009396407017575329,0.009671884386540317,0.009127664581821673,0.00816637018077365,0.007531515805233477,0.007470971314467069,0.0076410119768101845,0.007605786426370761,0.007168095149066516,0.006390505989655513,0.0055712265128964105,0.0050433885808928445,0.0048080690708204666,0.00450961236455064,0.0039009065764995772,0.0031792762177704674,0.0026867417611844985,0.0024486596929698865,0.0022489775189830975,0.001994943519376906,0.001756151672313903,0.0015654190823964082,0.0013743116864734421,0.0011530283650370383,0.0009268550587977941,0.0007288674667195515,0.0005679293677435881,0.0004360150707368787,0.00032325451880346745,0.00023015484468811968,0.0001644027061949528,0.0001231304390819376,9.311732771926062e-05,6.705215638665248e-05,4.569396594477611e-05,2.998079979118398e-05,1.9017873890347992e-05,1.1509018779960608e-05,6.5868196162658635e-06,3.8033928949383657e-06,2.5040497728564018e-06,1.9170163843486754e-06,1.5980815628518333e-06,1.4002666511162688e-06,1.3015556060793946e-06,1.2416802357074554e-06,1.0889122149786412e-06,7.824408828933268e-07
